date,state,fips,cases,deaths,POPESTIMATE2019
2020-05-15,Utah,49,6930,77,3205958
2020-05-16,Utah,49,7068,78,3205958
2020-05-17,Utah,49,7238,80,3205958
2020-05-18,Utah,49,7384,80,3205958
2020-05-19,Utah,49,7530,88,3205958
2020-05-20,Utah,49,7717,90,3205958
2020-05-21,Utah,49,7876,92,3205958
2020-05-22,Utah,49,8057,93,3205958
2020-05-23,Utah,49,8260,97,3205958
2020-05-24,Utah,49,8392,97,3205958
2020-05-25,Utah,49,8521,98,3205958
2020-05-26,Utah,49,8622,101,3205958
2020-05-27,Utah,49,8710,105,3205958
2020-05-28,Utah,49,8953,106,3205958
2020-05-29,Utah,49,9282,107,3205958
2020-05-30,Utah,49,9551,112,3205958
2020-05-31,Utah,49,9829,113,3205958
2020-06-01,Utah,49,10026,113,3205958
2020-06-02,Utah,49,10237,113,3205958
2020-06-03,Utah,49,10558,117,3205958
2020-06-04,Utah,49,10858,117,3205958
2020-06-05,Utah,49,11344,120,3205958
2020-03-07,Vermont,50,1,0,623989
2020-03-08,Vermont,50,1,0,623989
2020-03-09,Vermont,50,1,0,623989
2020-03-10,Vermont,50,1,0,623989
2020-03-11,Vermont,50,2,0,623989
2020-03-12,Vermont,50,2,0,623989
2020-03-13,Vermont,50,2,0,623989
2020-03-14,Vermont,50,5,0,623989
2020-03-15,Vermont,50,8,0,623989
2020-03-16,Vermont,50,12,0,623989
2020-03-17,Vermont,50,14,0,623989
2020-03-18,Vermont,50,19,0,623989
2020-03-19,Vermont,50,22,2,623989
2020-03-20,Vermont,50,29,2,623989
2020-03-21,Vermont,50,49,2,623989
2020-03-22,Vermont,50,52,2,623989
2020-03-23,Vermont,50,75,2,623989
2020-03-24,Vermont,50,95,7,623989
2020-03-25,Vermont,50,123,8,623989
2020-03-26,Vermont,50,158,9,623989
2020-03-27,Vermont,50,184,10,623989
2020-03-28,Vermont,50,211,12,623989
2020-03-29,Vermont,50,235,12,623989
2020-03-30,Vermont,50,256,12,623989
2020-03-31,Vermont,50,293,13,623989
2020-04-01,Vermont,50,321,16,623989
2020-04-02,Vermont,50,338,17,623989
2020-04-03,Vermont,50,389,17,623989
2020-04-04,Vermont,50,461,20,623989
2020-04-05,Vermont,50,512,22,623989
2020-04-06,Vermont,50,543,23,623989
2020-04-07,Vermont,50,575,23,623989
2020-04-08,Vermont,50,605,23,623989
2020-04-09,Vermont,50,628,23,623989
2020-04-10,Vermont,50,679,24,623989
2020-04-11,Vermont,50,711,24,623989
2020-04-12,Vermont,50,727,26,623989
2020-04-13,Vermont,50,748,27,623989
2020-04-14,Vermont,50,752,28,623989
2020-04-15,Vermont,50,759,29,623989
2020-04-16,Vermont,50,768,34,623989
2020-04-17,Vermont,50,779,34,623989
2020-04-18,Vermont,50,803,36,623989
2020-04-19,Vermont,50,812,36,623989
2020-04-20,Vermont,50,816,37,623989
2020-04-21,Vermont,50,818,39,623989
2020-04-22,Vermont,50,823,39,623989
2020-04-23,Vermont,50,825,42,623989
2020-04-24,Vermont,50,827,43,623989
2020-04-25,Vermont,50,843,45,623989
2020-04-26,Vermont,50,851,45,623989
2020-04-27,Vermont,50,855,46,623989
2020-04-28,Vermont,50,862,46,623989
2020-04-29,Vermont,50,862,46,623989
2020-04-30,Vermont,50,866,48,623989
2020-05-01,Vermont,50,879,49,623989
2020-05-02,Vermont,50,886,50,623989
2020-05-03,Vermont,50,897,52,623989
